SuburbPostCodeKey,Suburb,PropertyValue,Updated_Year,Updated_Month
"2080-Mount Kuring-Gai","Mount Kuring-Gai","","2017","6"
"2083-Bar Point","Bar Point","","2017","6"
"2083-Brooklyn","Brooklyn","","2017","6"
"2083-Cheero Point","Cheero Point","","2017","6"
"2083-Cogra Bay","Cogra Bay","","2017","6"
"2083-Dangar Island","Dangar Island","","2017","6"
"2083-Milsons Passage","Milsons Passage","","2017","6"
"2083-Mooney Mooney","Mooney Mooney","","2017","6"
"2084-Cottage Point","Cottage Point","","2017","6"
"2084-Duffys Forest","Duffys Forest","","2017","6"
"2084-Terrey Hills","Terrey Hills","","2017","6"
"2104-Bayview","Bayview","","2017","6"
"2105-Church Point","Church Point","","2017","6"
"2105-Elvina Bay","Elvina Bay","","2017","6"
"2105-Lovett Bay","Lovett Bay","","2017","6"
"2105-Scotland Island","Scotland Island","","2017","6"
"2128-Silverwater","Silverwater","","2017","6"
"2157-Canoelands","Canoelands","","2017","6"
"2157-Forest Glen","Forest Glen","","2017","6"
"2157-Glenorie","Glenorie","","2017","6"
"2172-Pleasure Point","Pleasure Point","","2017","6"
"2172-Sandy Point","Sandy Point","","2017","6"
"2172-Voyager Point","Voyager Point","","2017","6"
"2178-Cecil Park","Cecil Park","","2017","6"
"2178-Kemps Creek","Kemps Creek","","2017","6"
"2178-Mount Vernon","Mount Vernon","","2017","6"
"2179-Austral","Austral","","2017","6"
"2179-Leppington","Leppington","","2017","6"
"2231-Kurnell","Kurnell","","2017","6"
"2278-Barnsley","Barnsley","","2017","6"
"2278-Killingworth","Killingworth","","2017","6"
"2278-Wakefield","Wakefield","","2017","6"
"2294-Carrington","Carrington","","2017","6"
"2306-Windale","Windale","","2017","6"
"2311-Allynbrook","Allynbrook","","2017","6"
"2311-Bingleburra","Bingleburra","","2017","6"
"2311-Carrabolla","Carrabolla","","2017","6"
"2311-East Gresford","East Gresford","","2017","6"
"2311-Eccleston","Eccleston","","2017","6"
"2311-Gresford","Gresford","","2017","6"
"2311-Halton","Halton","","2017","6"
"2311-Lewinsbrook","Lewinsbrook","","2017","6"
"2311-Lostock","Lostock","","2017","6"
"2311-Mount Rivers","Mount Rivers","","2017","6"
"2311-Upper Allyn","Upper Allyn","","2017","6"
"2328-Bureen","Bureen","","2017","6"
"2328-Dalswinton","Dalswinton","","2017","6"
"2328-Denman","Denman","","2017","6"
"2328-Giants Creek","Giants Creek","","2017","6"
"2328-Hollydeen","Hollydeen","","2017","6"
"2328-Kerrabee","Kerrabee","","2017","6"
"2328-Mangoola","Mangoola","","2017","6"
"2328-Martindale","Martindale","","2017","6"
"2328-Widden","Widden","","2017","6"
"2328-Yarrawa","Yarrawa","","2017","6"
"2329-Borambil","Borambil","","2017","6"
"2329-Cassilis","Cassilis","","2017","6"
"2329-Merriwa","Merriwa","","2017","6"
"2329-Uarbry","Uarbry","","2017","6"
"2336-Aberdeen","Aberdeen","","2017","6"
"2336-Dartbrook","Dartbrook","","2017","6"
"2336-Davis Creek","Davis Creek","","2017","6"
"2336-Rossgole","Rossgole","","2017","6"
"2336-Rouchel","Rouchel","","2017","6"
"2336-Rouchel Brook","Rouchel Brook","","2017","6"
"2336-Upper Dartbrook","Upper Dartbrook","","2017","6"
"2336-Upper Rouchel","Upper Rouchel","","2017","6"
"2338-Ardglen","Ardglen","","2017","6"
"2338-Blandford","Blandford","","2017","6"
"2338-Crawney","Crawney","","2017","6"
"2338-Green Creek","Green Creek","","2017","6"
"2338-Murrurundi","Murrurundi","","2017","6"
"2338-Pages River","Pages River","","2017","6"
"2338-Sandy Creek","Sandy Creek","","2017","6"
"2338-Scotts Creek","Scotts Creek","","2017","6"
"2338-Timor","Timor","","2017","6"
"2339-Big Jacks Creek","Big Jacks Creek","","2017","6"
"2339-Braefield","Braefield","","2017","6"
"2339-Cattle Creek","Cattle Creek","","2017","6"
