DateValue,Year,Month,Week of Year,Day,Start of Year,End of Year,Month Name,Day of Year
2017-01-01 00:00:00.000,2017,1,1,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",1
2017-01-02 00:00:00.000,2017,1,2,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",2
2017-01-03 00:00:00.000,2017,1,2,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",3
2017-01-04 00:00:00.000,2017,1,2,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",4
2017-01-05 00:00:00.000,2017,1,2,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",5
2017-01-06 00:00:00.000,2017,1,2,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",6
2017-01-07 00:00:00.000,2017,1,2,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",7
2017-01-08 00:00:00.000,2017,1,2,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",8
2017-01-09 00:00:00.000,2017,1,3,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",9
2017-01-10 00:00:00.000,2017,1,3,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",10
2017-01-11 00:00:00.000,2017,1,3,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",11
2017-01-12 00:00:00.000,2017,1,3,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",12
2017-01-13 00:00:00.000,2017,1,3,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",13
2017-01-14 00:00:00.000,2017,1,3,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",14
2017-01-15 00:00:00.000,2017,1,3,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",15
2017-01-16 00:00:00.000,2017,1,4,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",16
2017-01-17 00:00:00.000,2017,1,4,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",17
2017-01-18 00:00:00.000,2017,1,4,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",18
2017-01-19 00:00:00.000,2017,1,4,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",19
2017-01-20 00:00:00.000,2017,1,4,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",20
2017-01-21 00:00:00.000,2017,1,4,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",21
2017-01-22 00:00:00.000,2017,1,4,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",22
2017-01-23 00:00:00.000,2017,1,5,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",23
2017-01-24 00:00:00.000,2017,1,5,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",24
2017-01-25 00:00:00.000,2017,1,5,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",25
2017-01-26 00:00:00.000,2017,1,5,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",26
2017-01-27 00:00:00.000,2017,1,5,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",27
2017-01-28 00:00:00.000,2017,1,5,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",28
2017-01-29 00:00:00.000,2017,1,5,29,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",29
2017-01-30 00:00:00.000,2017,1,6,30,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",30
2017-01-31 00:00:00.000,2017,1,6,31,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"January",31
2017-02-01 00:00:00.000,2017,2,6,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",32
2017-02-02 00:00:00.000,2017,2,6,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",33
2017-02-03 00:00:00.000,2017,2,6,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",34
2017-02-04 00:00:00.000,2017,2,6,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",35
2017-02-05 00:00:00.000,2017,2,6,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",36
2017-02-06 00:00:00.000,2017,2,7,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",37
2017-02-07 00:00:00.000,2017,2,7,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",38
2017-02-08 00:00:00.000,2017,2,7,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",39
2017-02-09 00:00:00.000,2017,2,7,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",40
2017-02-10 00:00:00.000,2017,2,7,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",41
2017-02-11 00:00:00.000,2017,2,7,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",42
2017-02-12 00:00:00.000,2017,2,7,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",43
2017-02-13 00:00:00.000,2017,2,8,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",44
2017-02-14 00:00:00.000,2017,2,8,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",45
2017-02-15 00:00:00.000,2017,2,8,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",46
2017-02-16 00:00:00.000,2017,2,8,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",47
2017-02-17 00:00:00.000,2017,2,8,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",48
2017-02-18 00:00:00.000,2017,2,8,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",49
2017-02-19 00:00:00.000,2017,2,8,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",50
2017-02-20 00:00:00.000,2017,2,9,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",51
2017-02-21 00:00:00.000,2017,2,9,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",52
2017-02-22 00:00:00.000,2017,2,9,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",53
