Location_ID,Latitude,Longitude,LatLong
1,-32.16689969,150.8919751,"-32.16689969,150.8919751"
2,-32.16688641,150.8919573,"-32.16688641,150.8919573"
3,-32.9337056,151.7204518,"-32.9337056,151.7204518"
4,-32.93341396,151.7203632,"-32.93341396,151.7203632"
5,-32.93340162,151.7203474,"-32.93340162,151.7203474"
6,-32.93382729,151.7202364,"-32.93382729,151.7202364"
7,-34.56340933,150.79939,"-34.56340933,150.79939"
8,-34.56350712,150.7991893,"-34.56350712,150.7991893"
9,-34.56293995,150.798574,"-34.56293995,150.798574"
10,-34.56278202,150.7984185,"-34.56278202,150.7984185"
11,-33.96996874,151.1149448,"-33.96996874,151.1149448"
12,-33.969537269999996,151.1146945,"-33.969537269999996,151.1146945"
13,-33.96949011,151.1145667,"-33.96949011,151.1145667"
14,-33.96987782,151.1144352,"-33.96987782,151.1144352"
15,-33.96988689,151.1142405,"-33.96988689,151.1142405"
16,-33.9020453,151.1381593,"-33.9020453,151.1381593"
17,-33.9020497,151.1380434,"-33.9020497,151.1380434"
18,-33.93692447,151.1474278,"-33.93692447,151.1474278"
19,-33.93696302,151.1474227,"-33.93696302,151.1474227"
20,-33.93677457,151.1468602,"-33.93677457,151.1468602"
21,-33.93671781,151.1468509,"-33.93671781,151.1468509"
22,-33.80823377,151.1847419,"-33.80823377,151.1847419"
23,-33.80875941,151.1847201,"-33.80875941,151.1847201"
24,-33.80854065,151.1844285,"-33.80854065,151.1844285"
25,-33.88744211,151.1259581,"-33.88744211,151.1259581"
26,-33.88739665,151.1258025,"-33.88739665,151.1258025"
27,-33.88789161,151.1257974,"-33.88789161,151.1257974"
28,-33.887775,151.1255397,"-33.887775,151.1255397"
29,-33.68869132,151.1082656,"-33.68869132,151.1082656"
30,-33.68848916,151.1079991,"-33.68848916,151.1079991"
31,-33.8492876,151.0332914,"-33.8492876,151.0332914"
32,-33.849663,151.0329192,"-33.849663,151.0329192"
33,-33.84946375,151.0327209,"-33.84946375,151.0327209"
34,-34.3065205,150.9293511,"-34.3065205,150.9293511"
35,-34.30650136,150.9289071,"-34.30650136,150.9289071"
36,-33.0129167,151.5421589,"-33.0129167,151.5421589"
37,-33.01291676,151.5421328,"-33.01291676,151.5421328"
38,-33.01310914,151.5420747,"-33.01310914,151.5420747"
39,-33.94490035,151.140849,"-33.94490035,151.140849"
40,-33.94479129,151.1404987,"-33.94479129,151.1404987"
41,-33.94488347,151.1404482,"-33.94488347,151.1404482"
42,-33.91768635,151.0342697,"-33.91768635,151.0342697"
43,-33.91805216,151.03411,"-33.91805216,151.03411"
44,-33.91778824,151.0337625,"-33.91778824,151.0337625"
45,-33.93137824,151.125379,"-33.93137824,151.125379"
46,-34.29097858,150.5801756,"-34.29097858,150.5801756"
47,-34.29098411,150.5801501,"-34.29098411,150.5801501"
48,-34.29100778,150.5800205,"-34.29100778,150.5800205"
49,-34.29104476,150.5800077,"-34.29104476,150.5800077"
50,-33.74921627,151.0667339,"-33.74921627,151.0667339"
51,-33.74904472,151.0663377,"-33.74904472,151.0663377"
52,-33.74923381,151.0662247,"-33.74923381,151.0662247"
53,-33.5061656,150.2793612,"-33.5061656,150.2793612"
54,-33.50623435,150.2790794,"-33.50623435,150.2790794"
55,-34.36261281,150.9101311,"-34.36261281,150.9101311"
56,-33.91724884,151.0883372,"-33.91724884,151.0883372"
57,-33.91722736,151.0883244,"-33.91722736,151.0883244"
58,-33.8719773,151.0328288,"-33.8719773,151.0328288"
59,-33.87139384,151.0323272,"-33.87139384,151.0323272"
60,-32.79940714,151.6585784,"-32.79940714,151.6585784"
61,-32.79958398,151.658334,"-32.79958398,151.658334"
62,-32.79947121,151.6581617,"-32.79947121,151.6581617"
63,-33.62291449,151.1535638,"-33.62291449,151.1535638"
64,-33.62300205,151.1531421,"-33.62300205,151.1531421"
65,-34.78027342,150.6967235,"-34.78027342,150.6967235"
66,-33.94914069,151.0808676,"-33.94914069,151.0808676"
67,-33.94913026,151.0808291,"-33.94913026,151.0808291"
68,-33.94926254,151.0804784,"-33.94926254,151.0804784"
69,-33.9374812,151.1139261,"-33.9374812,151.1139261"
70,-33.89253644,151.0243134,"-33.89253644,151.0243134"
71,-33.63397248,150.2845903,"-33.63397248,150.2845903"
72,-33.63400546,150.2842535,"-33.63400546,150.2842535"
73,-33.76777702,150.9080196,"-33.76777702,150.9080196"
74,-33.7677336,150.9079689,"-33.7677336,150.9079689"
75,-33.76775412,150.9079614,"-33.76775412,150.9079614"
76,-33.76894183,150.9073054,"-33.76894183,150.9073054"
77,-33.76896727,150.9072963,"-33.76896727,150.9072963"
78,-33.7678292,150.9071472,"-33.7678292,150.9071472"
79,-33.76889928,150.9070828,"-33.76889928,150.9070828"
80,-33.76903303,150.9069899,"-33.76903303,150.9069899"
