School_Code,SuburbPostCodeKey,AgeID,School_Name,Street,Suburb,Postcode,Student_numbers,Indigenous_percentage,LBOTE_percentage,ICSEA_Value,Level_of_Schooling,Opportunity_Class,School_Specialty_Type,School_Subtype,Intensive_English_Centre,School_Gender,Phone,School_Email,Fax,Late_Opening_School,Latitude,Longitude,Date_Extracted,LatLong
1084,"2283-Awaba",8964,"Awaba Public School","Mulbring Street","Awaba","2283","36","NA","NA",969,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4959 2502","awaba-p.school@det.nsw.edu.au","4950 4905","N",-33.010554,151.538068,2017-07-03 00:00:00.000,"-33.010554,151.538068"
1098,"2365-Guyra",9413,"Bald Blair Public School","Ebor Rd","Guyra","2365","36","NA","NA",972,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6779 1578","baldblair-p.school@det.nsw.edu.au","6779 2060","N",-30.229893,151.785056,2017-07-03 00:00:00.000,"-30.229893,151.785056"
1137,"2668-Barmedman",10527,"Barmedman Public School","Robertson St","Barmedman","2668","15","NA","NA",866,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6976 2128","barmedman-p.school@det.nsw.edu.au","6976 2006","N",-34.148277,147.385078,2017-07-03 00:00:00.000,"-34.148277,147.385078"
1206,"2628-Berridale",10424,"Berridale Public School","Oliver St","Berridale","2628","71","NA","NA",986,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6456 3228","berridale-p.school@det.nsw.edu.au","6456 3429","N",-36.371444,148.827209,2017-07-03 00:00:00.000,"-36.371444,148.827209"
1207,"2712-Berrigan",10636,"Berrigan Public School","25-29 Momalong St","Berrigan","2712","82","NA","NA",952,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","03 5885 2209","berrigan-p.school@det.nsw.edu.au","03 5885 2661","N",-35.659667,145.815664,2017-07-03 00:00:00.000,"-35.659667,145.815664"
1228,"2758-Bilpin",10761,"Bilpin Public School","Bells Line of Road","Bilpin","2758","67","NA","NA",1022,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4567 1154","bilpin-p.school@det.nsw.edu.au","4567 1388","N",-33.497331,150.516765,2017-07-03 00:00:00.000,"-33.497331,150.516765"
1254,"2480-Blakebrook",9780,"Blakebrook Public School","Rosehill Rd","Blakebrook","2480","94","NA","NA",1002,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6629 3263","blakebrook-p.school@det.nsw.edu.au","6629 3181","N",-28.763426,153.229992,2017-07-03 00:00:00.000,"-28.763426,153.229992"
1271,"2316-Bobs Farm",9128,"Bobs Farm Public School","764 Marsh Rd","Bobs Farm","2316","31","NA","NA",984,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4982 1179","bobsfarm-p.school@det.nsw.edu.au","4982 1982","N",-32.766796,152.010937,2017-07-03 00:00:00.000,"-32.766796,152.010937"
1361,"2472-Broadwater",9747,"Broadwater Public School","Pacific Hwy","Broadwater","2472","44","NA","NA",973,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6682 8226","broadwater-p.school@det.nsw.edu.au","6682 8136","N",-29.002773,153.437279,2017-07-03 00:00:00.000,"-29.002773,153.437279"
1449,"2483-Burringbar",9910,"Burringbar Public School","59 Burringbar Road","Burringbar","2483","64","NA","NA",978,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6677 1469","burringbar-p.school@det.nsw.edu.au","6677 1616","N",-28.436645,153.466738,2017-07-03 00:00:00.000,"-28.436645,153.466738"
1490,"2550-Candelo",10186,"Candelo Public School","William St","Candelo","2550","65","NA","NA",959,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6493 2236","candelo-p.school@det.nsw.edu.au","6493 2035","N",-36.768392,149.695674,2017-07-03 00:00:00.000,"-36.768392,149.695674"
1492,"2480-Lismore",9783,"Caniaba Public School","Caniaba Rd","Lismore","2480","76","NA","NA",990,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6621 4309","caniaba-p.school@det.nsw.edu.au","6622 0260","N",-28.830799,153.231317,2017-07-03 00:00:00.000,"-28.830799,153.231317"
1502,"2623-Captains Flat",10414,"Captains Flat Public School","14 Montgomery St","Captains Flat","2623","40","NA","NA",940,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6236 6253","captainsfl-p.school@det.nsw.edu.au","6236 6390","N",-35.587192,149.450147,2017-07-03 00:00:00.000,"-35.587192,149.450147"
1517,"2711-Carrathool",22736,"Carrathool Public School","Glover St","Carrathool","2711","7","NA","NA",918,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6993 5143","Carrathool-p.school@det.nsw.edu.au","02 6993 5002","N",-34.409166,145.431622,2017-07-03 00:00:00.000,"-34.409166,145.431622"
1535,"2756-Cattai",10738,"Cattai Public School","487 Cattai Rd","Cattai","2756","58","NA","NA",996,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4572 8445","cattai-p.school@det.nsw.edu.au","4572 8760","N",-33.558762,150.906904,2017-07-03 00:00:00.000,"-33.558762,150.906904"
1553,"2469-Chatsworth",9707,"Chatsworth Island Public School","Chatsworth Island Rd","Chatsworth","2469","64","NA","NA",1002,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6646 4346","chatsworth-p.school@det.nsw.edu.au","6646 4160","N",-29.387954,153.231645,2017-07-03 00:00:00.000,"-29.387954,153.231645"
1558,"2484-Chillingham",9912,"Chillingham Public School","1420 Numinbah Rd","Chillingham","2484","40","NA","NA",923,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6679 1255","chillingha-p.school@det.nsw.edu.au","6679 1207","N",-28.311937,153.275569,2017-07-03 00:00:00.000,"-28.311937,153.275569"
1642,"2460-Copmanhurst",9708,"Copmanhurst Public School","Prescott St","Copmanhurst","2460","65","NA","NA",898,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6647 3121","copmanhurs-p.school@det.nsw.edu.au","6647 3282","N",-29.584663,152.775537,2017-07-03 00:00:00.000,"-29.584663,152.775537"
1656,"2480-Corndale",9790,"Corndale Public School","Corndale Rd","Corndale","2480","19","NA","NA",1035,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6628 4305","corndale-p.school@det.nsw.edu.au","6628 4131","N",-28.71315,153.362489,2017-07-03 00:00:00.000,"-28.71315,153.362489"
1659,"2646-Corowa",10466,"Corowa South Public School","158 Hume St","Corowa","2646","52","NA","NA",953,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6033 1535","corowasth-p.school@det.nsw.edu.au","6033 4021","N",-36.020988,146.376176,2017-07-03 00:00:00.000,"-36.020988,146.376176"
1668,"2081-Cowan",8693,"Cowan Public School","Chandler Ave","Cowan","2081","54","NA","NA",1045,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","9456 1065","cowan-p.school@det.nsw.edu.au","9456 3026","N",-33.588808,151.168843,2017-07-03 00:00:00.000,"-33.588808,151.168843"
1670,"2460-Cowper",9710,"Cowper Public School","Clarence & Samuel Sts","Cowper","2460","37","NA","NA",965,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6647 6339","cowper-p.school@det.nsw.edu.au","6647 6409","N",-29.56956,153.077731,2017-07-03 00:00:00.000,"-29.56956,153.077731"
1685,"2441-Crossmaglen",9631,"Crossmaglen Public School","384 Crossmaglen Rd","Crossmaglen","2441","20","NA","NA",974,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6653 4295","crossmagle-p.school@det.nsw.edu.au","6653 4081","N",-30.365945,152.981586,2017-07-03 00:00:00.000,"-30.365945,152.981586"
