SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"1001-Sydney","1001","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1002-Sydney","1002","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1003-Sydney","1003","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1004-Sydney","1004","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1005-Sydney","1005","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1006-Sydney","1006","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1007-Sydney","1007","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1008-Sydney","1008","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1009-Sydney","1009","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1010-Sydney","1010","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1011-Sydney","1011","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1020-Sydney","1020","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1021-Sydney","1021","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1022-Sydney","1022","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1023-Sydney","1023","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1025-Sydney","1025","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1026-Sydney","1026","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1027-Sydney","1027","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1028-Sydney","1028","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1029-Sydney","1029","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1030-Sydney","1030","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1031-Sydney","1031","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1033-Sydney","1033","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1034-Sydney","1034","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1035-Sydney","1035","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1036-Sydney","1036","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1037-Sydney","1037","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1038-Sydney","1038","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1039-Sydney","1039","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1040-Sydney","1040","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1041-Sydney","1041","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1042-Sydney","1042","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1043-Sydney","1043","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1044-Sydney","1044","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1045-Sydney","1045","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1046-Sydney","1046","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1100-Sydney","1100","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1101-Sydney","1101","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1105-Sydney","1105","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1106-Sydney","1106","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
"1107-Sydney","1107","Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"-33.794883,151.268071"
