Train_StationName,Suburb,Street_Name,Street_Type,Entrance_Type,Latitude,Longitude,Exit_Number,TrainStation_ID,LatLong
"Aberdeen","Aberdeen","Macqueen","St","Stairs",-32.16689969,150.8919751,0,1,"-32.16689969,150.8919751"
"Arncliffe","Arncliffe","Firth","St","Stairs",-33.93671781,151.1468509,0,21,"-33.93671781,151.1468509"
"Ashfield","Ashfield","Station","St","Stairs",-33.88739665,151.1258025,0,26,"-33.88739665,151.1258025"
"Ashfield","Ashfield","Brown","St","Stairs",-33.887775,151.1255397,0,28,"-33.887775,151.1255397"
"Banksia","Banksia","Railway","St","Stairs",-33.94488347,151.1404482,0,41,"-33.94488347,151.1404482"
"Beresfield","Beresfield","Addison","St","Stairs",-32.79958398,151.658334,0,61,"-32.79958398,151.658334"
"Birrong","Birrong","Avalon","St","Stairs",-33.89253644,151.0243134,0,70,"-33.89253644,151.0243134"
"Blackheath","Blackheath","Station","St","Stairs",-33.63400546,150.2842535,0,72,"-33.63400546,150.2842535"
"Bondi Junction","Bondi Junction","Grafton","St","Stairs",-33.89103017,151.2485965,0,90,"-33.89103017,151.2485965"
"Bondi Junction","Bondi Junction","Grafton","St","Stairs",-33.89099409,151.2482086,0,92,"-33.89099409,151.2482086"
"Bowral","Bowral","Wingercarribee","St","Stairs",-34.47841685,150.4165949,0,97,"-34.47841685,150.4165949"
"Cabramatta","Cabramatta","Broomfield","St","Stairs",-33.89480632,150.9390481,0,120,"-33.89480632,150.9390481"
"Campbelltown","Campbelltown","Hurley","St","Stairs",-34.06367954,150.8146141,0,128,"-34.06367954,150.8146141"
"Cardiff","Cardiff","Mary","St","Stairs",-32.94145731,151.6623011,0,142,"-32.94145731,151.6623011"
"Chatswood","Chatswood","Thomas","St","Stairs",-33.79766719,151.1811813,0,184,"-33.79766719,151.1811813"
"Chatswood","Chatswood","Railway","St","Stairs",-33.79709534,151.1806738,0,188,"-33.79709534,151.1806738"
"Chatswood","Chatswood","Thomas","St","Stairs",-33.797903,151.180647,0,189,"-33.797903,151.180647"
"Chatswood","Chatswood","Railway","St","Stairs",-33.79701563,151.1805215,0,191,"-33.79701563,151.1805215"
"Circular Quay","Circular Quay","Alfred","St","Stairs",-33.86146378,151.2107945,0,195,"-33.86146378,151.2107945"
"Circular Quay","Circular Quay","Alfred","St","Stairs",-33.86131441,151.2106592,0,200,"-33.86131441,151.2106592"
"Circular Quay","Circular Quay","Alfred","St","Stairs",-33.86131245,151.2106239,0,201,"-33.86131245,151.2106239"
"Circular Quay","Circular Quay","Alfred","St","Stairs",-33.86138049,151.2106156,0,202,"-33.86138049,151.2106156"
"Coledale","Coledale","Cater","St","Stairs",-34.28989285,150.943031,0,213,"-34.28989285,150.943031"
"Concord West","Concord West","Queen","St","Stairs",-33.84809272,151.0859526,0,217,"-33.84809272,151.0859526"
"Concord West","Concord West","King","St","Stairs",-33.84821375,151.0852126,0,219,"-33.84821375,151.0852126"
"Concord West","Concord West","King","St","Stairs",-33.84795404,151.0851904,0,221,"-33.84795404,151.0851904"
"Coniston","Coniston","Bridge","St","Stairs",-34.43823905,150.8851205,0,222,"-34.43823905,150.8851205"
"Dungog","Dungog","Brown","St","Stairs",-32.40249309,151.759251,0,262,"-32.40249309,151.759251"
"East Maitland","East Maitland","Melbourne","St","Stairs",-32.74457268,151.5874741,0,267,"-32.74457268,151.5874741"
"East Richmond","East Richmond","Bourke","St","Stairs",-33.6017457,150.7587291,0,269,"-33.6017457,150.7587291"
"Emu Plains","Emu Plains","Mackellar","St","Stairs",-33.74552422,150.6713807,0,279,"-33.74552422,150.6713807"
"Exhibition Centre LR","Exhibition Centre LR","Pyrmont","St","Stairs",-33.87678771,151.1992504,0,295,"-33.87678771,151.1992504"
"Fairfield","Fairfield","Dale","St","Stairs",-33.87250991,150.9570068,0,297,"-33.87250991,150.9570068"
"Glebe LR","Glebe LR","Burton","St","Stairs",-33.87707686,151.1875647,0,317,"-33.87707686,151.1875647"
"Hamilton","Hamilton","Beaumont","St","Stairs",-32.91802537,151.7485113,0,354,"-32.91802537,151.7485113"
"Hamilton","Hamilton","Beaumont","St","Stairs",-32.91838537,151.7482699,0,356,"-32.91838537,151.7482699"
"Harris Park","Harris Park","Station W","St","Stairs",-33.82326239,151.0074636,0,359,"-33.82326239,151.0074636"
"High Street","High Street","High","St","Stairs",-32.7413273,151.5644242,0,374,"-32.7413273,151.5644242"
"Hornsby","Hornsby","George","St","Stairs",-33.70356981,151.0988312,0,385,"-33.70356981,151.0988312"
"John Street Square LR","John Street Square LR","Harvey","St","Stairs",-33.86716237,151.192075,0,407,"-33.86716237,151.192075"
"Kings Cross","Kings Cross","Victoria","St","Stairs",-33.87403189,151.2225037,0,419,"-33.87403189,151.2225037"
"Kings Cross","Kings Cross","Victoria","St","Stairs",-33.87423751,151.2221958,0,421,"-33.87423751,151.2221958"
"Kogarah","Kogarah","Regent","St","Stairs",-33.96279661,151.1326915,0,430,"-33.96279661,151.1326915"
"Kogarah","Kogarah","Station","St","Stairs",-33.96260526,151.1322014,0,432,"-33.96260526,151.1322014"
"Kogarah","Kogarah","Station","St","Stairs",-33.96268807,151.1321451,0,434,"-33.96268807,151.1321451"
"Leichhardt North LR","Leichhardt North LR","James","St","Stairs",-33.87499429,151.1550175,0,450,"-33.87499429,151.1550175"
"Lewisham","Lewisham","Thomas","St","Stairs",-33.8931095,151.1475983,0,464,"-33.8931095,151.1475983"
"Lidcombe","Lidcombe","Railway","St","Stairs",-33.86386973,151.0446447,0,470,"-33.86386973,151.0446447"
"Lidcombe","Lidcombe","Church","St","Stairs",-33.86338085,151.0445549,0,472,"-33.86338085,151.0445549"
"Lidcombe","Lidcombe","Railway","St","Stairs",-33.863756,151.044279,0,473,"-33.863756,151.044279"
"Lilyfield LR","Lilyfield LR","Catherine","St","Stairs",-33.87411594,151.1647681,0,475,"-33.87411594,151.1647681"
"Liverpool","Liverpool","Biggs","St","Stairs",-33.92430468,150.9269377,0,493,"-33.92430468,150.9269377"
"Macdonaldtown","Macdonaldtown","Burren","St","Stairs",-33.89679186,151.1853862,0,503,"-33.89679186,151.1853862"
"Mascot","Mascot","Bourke","St","Stairs",-33.92315955,151.1873924,0,534,"-33.92315955,151.1873924"
"Minto","Minto","Somerset","St","Stairs",-34.02722065,150.8423272,0,567,"-34.02722065,150.8423272"
"Mittagong","Mittagong","Regent","St","Stairs",-34.45240354,150.4483624,0,573,"-34.45240354,150.4483624"
"Morisset","Morisset","Macquarie","St","Stairs",-33.10907961,151.4881539,0,577,"-33.10907961,151.4881539"
"Morisset","Morisset","Dora","St","Stairs",-33.10893132,151.48806,0,578,"-33.10893132,151.48806"
"Mount Victoria","Mount Victoria","Patrick","St","Stairs",-33.5882678,150.257054,0,601,"-33.5882678,150.257054"
"Mount Victoria","Mount Victoria","Station","St","Stairs",-33.58817529,150.256825,0,602,"-33.58817529,150.256825"
"Museum","Museum","Elizabeth","St","Stairs",-33.87493423,151.2098618,0,604,"-33.87493423,151.2098618"
"Museum","Museum","Elizabeth","St","Stairs",-33.87652945,151.2098063,0,606,"-33.87652945,151.2098063"
"Museum","Museum","Liverpool","St","Stairs",-33.87669845,151.2091949,0,610,"-33.87669845,151.2091949"
"Muswellbrook","Muswellbrook","Market","St","Stairs",-32.26758584,150.8908038,0,612,"-32.26758584,150.8908038"
"Muswellbrook","Muswellbrook","Market","St","Stairs",-32.26742612,150.8904619,0,613,"-32.26742612,150.8904619"
"North Strathfield","North Strathfield","Queen","St","Stairs",-33.85916251,151.0885013,0,631,"-33.85916251,151.0885013"
"North Wollongong","North Wollongong","Station","St","Stairs",-34.41235075,150.891562,0,635,"-34.41235075,150.891562"
"North Wollongong","North Wollongong","Porter","St","Stairs",-34.41230685,150.8912482,0,640,"-34.41230685,150.8912482"
"Ourimbah","Ourimbah","Mill","St","Stairs",-33.35965695,151.3702768,0,664,"-33.35965695,151.3702768"
"Parramatta","Parramatta","Station","St","Stairs",-33.8178785,151.0063215,0,677,"-33.8178785,151.0063215"
"Parramatta","Parramatta","Darcy","St","Stairs",-33.81698089,151.0046804,0,683,"-33.81698089,151.0046804"
"Paterson","Paterson","Main","St","Stairs",-32.60237058,151.6147645,0,686,"-32.60237058,151.6147645"
"Pennant Hills","Pennant Hills","Railway","St","Stairs",-33.7379301,151.0727775,0,691,"-33.7379301,151.0727775"
"Penrith","Penrith","Jane","St","Stairs",-33.75029054,150.6964713,0,699,"-33.75029054,150.6964713"
"Penrith","Penrith","Jane","St","Stairs",-33.75018886,150.6961967,0,701,"-33.75018886,150.6961967"
"Petersham","Petersham","Trafalgar","St","Stairs",-33.89402275,151.1557675,0,708,"-33.89402275,151.1557675"
"Petersham","Petersham","Terminus","St","Stairs",-33.8936064,151.1555418,0,709,"-33.8936064,151.1555418"
"Picton","Picton","Prince","St","Stairs",-34.17964863,150.612881,0,710,"-34.17964863,150.612881"
"Picton","Picton","Station","St","Stairs",-34.17927875,150.6127309,0,711,"-34.17927875,150.6127309"
"Picton","Picton","Prince","St","Stairs",-34.17968277,150.6127042,0,712,"-34.17968277,150.6127042"
"Port Kembla North","Port Kembla North","Flinders","St","Stairs",-34.47297995,150.8873269,0,718,"-34.47297995,150.8873269"
"Port Kembla North","Port Kembla North","Flinders","St","Stairs",-34.47312925,150.8870415,0,719,"-34.47312925,150.8870415"
"Pymble","Pymble","Grandview","St","Stairs",-33.74463831,151.1422732,0,722,"-33.74463831,151.1422732"
"Redfern","Redfern","Marian","St","Stairs",-33.89270463,151.1981812,0,731,"-33.89270463,151.1981812"
"Revesby","Revesby","Blamey","St","Stairs",-33.95270727,151.0154862,0,735,"-33.95270727,151.0154862"
"Rhodes","Rhodes","Walker","St","Stairs",-33.83064015,151.0868216,0,742,"-33.83064015,151.0868216"
"Richmond","Richmond","E Market","St","Stairs",-33.59877109,150.7523098,0,743,"-33.59877109,150.7523098"
