ID,School_Roll_No,Name,Address1,Address2,Address3,Phone,School_Level,Mixed_Status,Fee_paying,Completion_Prog,Lat,Long
1,20176C,Rush Lusk Educate Together Ns,Rathmore Rd,Lusk,,(01) 8430525,Primary,Mixed,No,,53.5289465480972,-6.15690613123526
2,20137P,Mary Mother Of Hope Senior Ns,"Littlepace, Castaheaney",Dublin 15, ,(01) 8128693,Primary,Mixed,No,,53.4044437677559,-6.42466733348594
3,60852R,Mater Christi Secondary School,Cappagh,Dublin 11, ,(01) 8343165,Secondary,Girls,No,,53.3921439465229,-6.32306232071899
4,19601H,Saint Philip The Apostle  Jns,Mountview Road,Dublin 15, ,(01) 8212992,Primary,Mixed,No,School Completion Programme,53.3902759865971,-6.407382917605
5,19470S,Saint Francis Xavier Sns,Roselawn Road,Castleknock,Dublin 15,(01) 8211121,Primary,Mixed,No,,53.3827223864593,-6.38334297475873
6,19393D,Bayside Jns (Muire Agus Iosef),Verbena Avenue,Sutton,Dublin 13,(01) 8326524,Primary,Mixed,No,,53.3893444134756,-6.14725231097875
7,16970A,Saint Mologas Ns,Bremore,Balbriggan,Dublin,(01) 8413133,Primary,Mixed,No,,53.6158565903141,-6.19034968085074
8,20202A,Balbriggan Educate Together,Hamlet Lane,Moylaragh,Balbriggan,(01) 6904635,Primary,Mixed,No,School Completion Programme,53.6125330756283,-6.20650185613338
9,20130B,Saint Patricks National School,Diswellstown,Dubiln 15, ,(01) 8249930,Primary,Mixed,No,,53.3692097523722,-6.38814974279032
10,19769W,Scoil Thomais,Laurel Lodge,Castleknock,Dublin 15,(01) 8201022,Primary,Mixed,No,,53.3781604561254,-6.37781693388738
11,19545A,St Patricks Jns/Corduff Ns,Blackcourt Road,Corduff,Dublin 15,(01) 8211546,Primary,Mixed,No,School Completion Programme,53.3988995049934,-6.37569150077036
12,19850F,Ladyswell National School,Ladyswell,Mulhuddart,Dublin 15,(01) 8204255,Primary,Mixed,No,School Completion Programme,53.4059732702325,-6.3919037401449
13,16675V,Mulhuddart National School,Mulhuddart Village,Dublin 15, ,(01) 8210623,Primary,Mixed,No,,53.4146752800165,-6.39227934103521
14,20201V,Tyrellstown Educate Together,Powerstown Road,Tyrellstown,Dublin 15,(01) 8273140,Primary,Mixed,No,,53.4146479295021,-6.39024989908105
15,60383I,Colaiste Choilm,Dublin Road,Swords,Co. Dublin,(01) 8401420,Secondary,Boys,No,,53.4525052650678,-6.2255181795291
16,76062B,Castleknock Community College,Carpenterstown Road,Dublin 15, ,(01) 8221626,Secondary,Mixed,No,,53.3719942627298,-6.39106269312186
17,18976W,Saint Colmcilles Boy'S National School,Chapel Lane,Swords,Co. Dublin,(01) 8405132,Primary,Boys,No,School Completion Programme,53.4584828670109,-6.2147721001359
18,76078Q,Skerries Community College,Balbriggan Street,Skerries,Balbriggan,(01) 8490011,Secondary,Mixed,No,,53.5791861567889,-6.11589336340986
19,19625V,Scoil Realt Na Mara,Balbriggan Road,Skerries,Balbriggan,(01) 8490049,Primary,Mixed,No,,53.580314399909,-6.1206978131954
20,17961E,Lusk National School (Sn Lusca),Chapel Road,Lusk,Co. Dublin,(01) 8437738,Primary,Mixed,No,,53.5291863342288,-6.16791665699562
21,16844S,Loughshinney National School (Saint Brendans/ Scoil N Breandan),Ballykea,Skerries,Balbriggan,(01) 8490394,Primary,Mixed,No,,53.5464103754593,-6.09018257953956
22,19624T,Scoil Nais Caitriona- Saint Catherines National School,Saint Catherine'S Avenue,Rush,Co. Dublin,(01) 8438266,Primary,Mixed,No,,53.5350226302885,-6.0992697020554
23,17472M,Hedgestown Ns (Scoil Baile Falbhach),Jordanstown,Lusk,Co. Dublin,(01) 8438372,Primary,Mixed,No,,53.5507115722196,-6.20756620503561
24,17263D,Oldtown National School (S N Muire An Sean Baile),Oldtown,Co. Dublin, ,(01) 8433420,Primary,Mixed,No,,53.5244717037047,-6.31850695020617
25,19693P,Mary Queen Of Ireland National School,Toberburr,Saint Margaret's,Swords,(01) 8404629,Primary,Mixed,No,School Completion Programme,53.4525756509884,-6.2925495316841
26,19505L,Gaelscoil Oilibheir,Snugborough Road,Dublin 15, ,(01) 8215277,Primary,Mixed,No,,53.3873745195204,-6.39780159301137
27,91315O,Coolmine Community School- Scoil Phobail Chuil Mhin,Blanchardstown Road South,Dublin 15, ,(01) 8214141,Secondary,Mixed,No,,53.3887384917891,-6.39571734814438
28,19762I,Saint Helens Senior School,Limetree Avenue,Portmarnock,Dublin 13,(01) 8461808,Primary,Mixed,No,,53.4389986271051,-6.13580350925631
29,19578P,Saint Helens Junior School,Limetree Avenue,Portmarnock,Dublin 13,(01) 8461763,Primary,Mixed,No,,53.4399030334322,-6.1360722630568
30,12358M,Swords Borough N S ,Church Road,Swords,Co. Dublin,(01) 8407036,Primary,Mixed,No,,53.4574521100282,-6.22313009039377
31,91325R,Malahide Community School,Broomfield,Malahide,Co. Dublin,(01) 8463244,Secondary,Mixed,No,,53.4382530582525,-6.15248338966244
32,15569R,Milverton National School (Scoil Mobhi),Milverton,Skerries,Balbriggan,(01) 8492467,Primary,Mixed,No,,53.5646445212491,-6.14753412080114
33,09492W,Balscadden National School,Balscadden,Balbriggan,Co. Dublin,(01) 8412579,Primary,Mixed,No,,53.6152784596126,-6.23217712174507
34,20098I,Castleknock Educate Together National School,Beechpark Avenue,Dublin 15, ,(01) 8219331,Primary,Mixed,No,,53.3800111040008,-6.36279657705396
35,70081V,Riversdale Community College,Blanchardstown Road North,Dublin 15, ,(01) 8201488,Secondary,Mixed,No,School Completion Programme,53.4019244964689,-6.37934606077867
36,19755L,Sacred Heart National School,Huntstown Way,Huntstown,Dublin 15,(01) 8216400,Primary,Mixed,No,,53.4025589560919,-6.41005253389049
37,19643A,Saint Philips Sns,Mountview Road,Clonsilla,Dublin 15,(01) 8216101,Primary,Mixed,No,School Completion Programme,53.3896278385681,-6.40741120060094
38,91316Q,Blakestown Community School,Sheepmoor Avenue,Blakestown,Dublin 15,(01) 8215522,Secondary,Mixed,No,School Completion Programme,53.3960412535743,-6.40342122792023
39,19636D,Saint Patricks Sns,Blackcourt Road,Corduff,Dublin 15,(01) 8216563,Primary,Mixed,No,School Completion Programme,53.3987915983412,-6.3774388843997
40,18778S,Saint Mochtas National School,Porterstown Road,Clonsilla,Dublin 15,(01) 8210499,Primary,Mixed,No,,53.3820015349048,-6.40516624801997
